,prc,lea,expend,fiscal_year
633,009,160,1445654.46,2013-14
634,009,170,504389.68,2013-14
635,009,180,2439839.11,2013-14
636,009,181,639297.32,2013-14
637,009,182,361479.74,2013-14
638,009,190,1210398.89,2013-14
639,009,200,612748.99,2013-14
640,009,210,407474.34,2013-14
641,009,220,201976.4,2013-14
642,009,230,2553484.27,2013-14
643,009,240,994717.49,2013-14
644,009,241,428809.33,2013-14
645,009,250,1826917.58,2013-14
646,009,260,6704368.79,2013-14
647,009,270,565333.84,2013-14
648,009,280,790071.35,2013-14
649,009,290,2498053.29,2013-14
650,009,291,499178.96,2013-14
651,009,292,401455.15,2013-14
652,009,300,976936.71,2013-14
653,009,310,1216697.65,2013-14
654,009,320,4453305.36,2013-14
655,009,330,1082319.69,2013-14
656,009,340,7907798.37,2013-14
657,009,350,1093627.62,2013-14
658,009,360,3971772.14,2013-14
659,009,370,267947.67,2013-14
660,009,380,205879.36,2013-14
661,009,390,1119029.65,2013-14
662,009,400,525990.55,2013-14
663,009,410,10192051.19,2013-14
664,009,420,602078.03,2013-14
665,009,421,522427.13,2013-14
666,009,422,154806.6,2013-14
667,009,430,2061739.17,2013-14
668,009,440,1153541.48,2013-14
669,009,450,1773932.06,2013-14
670,009,460,563165.34,2013-14
671,009,470,981398.77,2013-14
672,009,480,273094.98,2013-14
673,009,490,2231288.39,2013-14
674,009,491,581465.3,2013-14
675,009,500,529505.65,2013-14
676,009,510,3784375.87,2013-14
677,009,520,237019.82,2013-14
678,009,530,1278493.75,2013-14
679,009,540,1241848.83,2013-14
680,009,550,1535072.0,2013-14
681,009,560,773861.94,2013-14
682,009,570,339816.73,2013-14
683,009,580,575303.08,2013-14
684,009,590,733824.37,2013-14
685,009,600,13805980.04,2013-14
686,009,610,454095.36,2013-14
687,009,620,686200.76,2013-14
688,009,630,1800268.16,2013-14
689,009,640,2544040.52,2013-14
690,009,650,3364203.1,2013-14
691,009,660,445978.77,2013-14
692,009,670,2436648.54,2013-14
693,009,680,1220956.39,2013-14
694,009,681,1719381.7,2013-14
695,009,690,302713.23,2013-14
696,009,700,947146.62,2013-14
697,009,710,1035457.19,2013-14
698,009,720,298426.27,2013-14
699,009,730,746153.11,2013-14
700,009,740,3074498.68,2013-14
701,009,750,450783.19,2013-14
702,009,760,2386077.71,2013-14
703,009,761,656077.99,2013-14
704,009,770,1225325.2,2013-14
705,009,780,3470041.89,2013-14
706,009,790,1978666.29,2013-14
707,009,800,3300545.95,2013-14
708,009,810,1236360.81,2013-14
709,009,820,1091186.4,2013-14
710,009,821,447032.78,2013-14
711,009,830,1254855.94,2013-14
712,009,840,1265774.15,2013-14
713,009,850,1006379.14,2013-14
714,009,860,1271906.61,2013-14
715,009,861,226272.58,2013-14
716,009,862,328746.55,2013-14
717,009,870,404289.8,2013-14
718,009,880,679403.82,2013-14
719,009,890,173803.55,2013-14
720,009,900,3990270.32,2013-14
721,009,910,1159770.21,2013-14
722,009,920,16972769.06,2013-14
723,009,930,477879.78,2013-14
724,009,940,337773.82,2013-14
725,009,950,819479.79,2013-14
726,009,960,2762815.69,2013-14
727,009,970,1439463.12,2013-14
728,009,980,1555230.66,2013-14
729,009,990,993897.36,2013-14
730,009,995,411865.11,2013-14
731,010,010,17.56,2013-14
732,010,111,248128.0,2013-14
733,010,130,5077764.0,2013-14
734,010,132,868068.11,2013-14
735,010,140,512039.45,2013-14
736,010,150,235113.31,2013-14
737,010,160,363084.2,2013-14
738,010,180,345000.0,2013-14
739,010,220,43275.09,2013-14
740,010,260,2398140.04,2013-14
741,010,270,174647.0,2013-14
742,010,320,2954225.0,2013-14
743,010,360,4863321.8,2013-14
744,010,440,64383.14,2013-14
745,010,450,1010831.0,2013-14
746,010,470,1490477.8,2013-14
747,010,540,224380.0,2013-14
748,010,560,2263.0,2013-14
749,010,570,172319.98,2013-14
750,010,600,4552112.0,2013-14
751,010,610,52116.0,2013-14
752,010,650,1816730.55,2013-14
753,010,681,279277.0,2013-14
754,010,710,555793.07,2013-14
755,010,730,565999.99,2013-14
756,010,821,257470.77,2013-14
757,010,850,130000.0,2013-14
758,010,860,33668.0,2013-14
759,010,862,118354.74,2013-14
760,010,900,6069197.0,2013-14
761,010,920,2139657.0,2013-14
762,011,010,173.32,2013-14
763,011,020,535.0,2013-14
764,011,050,786.92,2013-14
765,011,060,97.96,2013-14
766,011,070,369.24,2013-14
767,011,100,195.92,2013-14
768,011,110,6035.96,2013-14
769,011,120,4076.72,2013-14
770,011,130,4806.06,2013-14
771,011,132,470.43,2013-14
772,011,140,745.99,2013-14
773,011,160,528.56,2013-14
774,011,180,2562.12,2013-14
775,011,181,293.88,2013-14
776,011,182,75.35,2013-14
777,011,190,4394.84,2013-14
778,011,210,376.8,2013-14
779,011,230,3496.3,2013-14
780,011,250,890.28,2013-14
781,011,260,775.08,2013-14
782,011,280,2530.43,2013-14
783,011,290,1389.86,2013-14
784,011,292,339.1,2013-14
785,011,300,417.16,2013-14
786,011,310,1431.8,2013-14
787,011,320,4937.42,2013-14
788,011,340,2447.07,2013-14
789,011,360,4284.14,2013-14
790,011,370,293.88,2013-14
791,011,400,271.28,2013-14
792,011,410,5014.98,2013-14
793,011,421,293.88,2013-14
794,011,430,2403.96,2013-14
795,011,440,1205.76,2013-14
796,011,450,3334.64,2013-14
797,011,470,301.39,2013-14
798,011,490,2614.84,2013-14
799,011,491,2479.26,2013-14
800,011,510,1266.0,2013-14
801,011,530,422.0,2013-14
802,011,540,293.88,2013-14
803,011,550,1676.74,2013-14
804,011,600,10114.44,2013-14
805,011,620,173.32,2013-14
806,011,630,1665.34,2013-14
807,011,650,2217.51,2013-14
808,011,670,1228.36,2013-14
809,011,680,2176.7,2013-14
810,011,681,6836.17,2013-14
811,011,690,226.07,2013-14
812,011,700,75.36,2013-14
813,011,730,1800.99,2013-14
814,011,761,301.44,2013-14
815,011,780,2637.6,2013-14
816,011,790,874.16,2013-14
817,011,800,1533.5,2013-14
818,011,860,324.02,2013-14
819,011,861,188.39,2013-14
